Name;Year of establishment;Ownership;Category
Global Institute of Commerce and Technology, Gwarinpa, Abuja;2015.0;Private;Innovation Enterprise
Global Maritime Academy, Oguni-Ololmu, Delta State;2012.0;Private;Innovation Enterprise
Glory land Institute of Management Ankpa, Kogi State;2016.0;Private;Innovation Enterprise
Grace City Institute of Technology and Management Science Ltd,Opposite Rinsayo Filling Station, Ring Road, Osogbo,Osun State;2018.0;Private;Innovation Enterprise
Graig- Philips College of Technology, Maryland, Lagos State;2015.0;Private;Innovation Enterprise
Grajos College of Mass Communication and Management Technology Sowemimo Street, Aduro Bus Stop, Ijaiye Ojokoro Lagos, Lagos State;2021.0;Private;Innovation Enterprise
Halogen School of Security Management and Technology Ikeja, Lagos;2019.0;Private;Innovation Enterprise
Hajj Institute of NigeriaPlot 992, Zakaria Maimalari StreetCentral Business DistrictFCT - Abuja;2022.0;Private;Innovation Enterprise
Highland College Ibadan, c/o Segun Fatoki, 98 Iwo Road, Ibadan, Oyo State. segunfatoki@hotmail.comhighlandcollege@yahoo.com;2008.0;Private;Innovation Enterprise
Homik Oil and Gas Facility Engineering School, Homik Rehoboth Court by Jesus Evang Power Mission, NTA/ Choba Road Ozuoba , Port Harcourt, Rivers State;2018.0;Private;Innovation Enterprise
Honourable Justice L. O. Aremu’s Academy for Basic Studies Ibadan, Oyo State;2015.0;Private;Innovation Enterprise
Ibom Institute of Management and Technology, Ikot Ekpene;2014.0;Private;Innovation Enterprise
ICCN Institute of Finance and Investment Management Nkwerre, Imo State;2017.0;Private;Innovation Enterprise
Ife Business School Ile Ife, Osun State;2017.0;Private;Innovation Enterprise
IFO College of Management  &Technology, P.M.B 5030 Ifo, Km. 50, Lagos Abeokuta Expressway, Techno Bus Stop, Ogun State.;2009.0;Private;Innovation Enterprise
Ilesha City College of Technology Ilase –Ijesha, Ilesha, Osun State;2018.0;Private;Innovation Enterprise
Iman College of Business Technology Sharada Phase 2 Kano, Kano State;2019.0;Private;Innovation Enterprise
IMFI-ICT Academy,54, Nsikak Eduok Avenue, P.O.Box 1723, Uyo, Akwa Ibom State.imfilimited@e_mail.comedwardudo@yahoo.com;2008.0;Private;Innovation Enterprise
Imperial College of Advance Studies, 8B Zoo Road Kano, Kano State;2021.0;Private;Innovation Enterprise
Industrial Training Fund(ITF) Models Skills Training Centre, Adetokunbo Ademola Crescent, Maitama, Abuja;2016.0;Federal Government;Innovation Enterprise
Innovation Institute of Information Technology, Akure, Ondo State;2013.0;Private;Innovation Enterprise
Innovation Institute of Technology,No. 5. Yakubu Gowon Way, Kaduna;2009.0;Private;Innovation Enterprise
Institute of Banking and Finance Ibadan;2015.0;Private;Innovation Enterprise
Institute of Corporate Security and Intelligence StudiesSani Abacha Youth Centre22/32 Madobi Road Kano, Kano State;2017.0;Private;Innovation Enterprise
Institute of Information and Computer Technology, Awgu, Enugu State;2013.0;Private;Innovation Enterprise
Institute of Maritime and Safety Alimosho, Lagos;2018.0;Private;Innovation Enterprise
Institute of Transport and Management Technology,  Km 43, Agbo Malu Bus Stop, MTN Badagry Express Way,Lagos;2017.0;Private;Innovation Enterprise
International Chaplaincy Corps Network (ICCN) Institute of Security Technology and Management, Orlu, Imo State;2013.0;Private;Innovation Enterprise
International Professional College of Administration, Science & Technology,Km 20, Abuja – Keffi Express Road, Masaka Mission City, Nasarawa     State.;2022.0;Private;Innovation Enterprise
International Vocational Technical Enteprenuership Centre (IVTECH) Ajase-Ipo, Kwara State;2019.0;State Government;Innovation Enterprise
Ipetu- Ijesha College of Technology Ipetu – Ijesha, Osun State;2018.0;Private;Innovation Enterprise
Izisco Obos Institute of Marine Studies & Technology, Warri, Delta State;2013.0;Private;Innovation Enterprise
Kaduna Business School, 17 Gobarau Road U/Rimi, Kadunawww.kadunabusineessschool.org;2010.0;Private;Innovation Enterprise
Katsina State Institute of Technology and Management Katsina, Katsina State;2015.0;State Government;Innovation Enterprise
Kings and Queens Beauty Institute No. 57 Abidjan Street, Wuse Zone 3 Abuja, FCT;2018.0;Private;Innovation Enterprise
Kunoch Education and Training College Owerri;2008.0;Private;Innovation Enterprise
Ladela Educational Institute (Dreamsville Ltd.)Plot 32, Port-Harcourt Crescent, Garki, Abuja, FCT. info@ladelaschool.comwww.dreamsvilleltd.com;2008.0;Private;Innovation Enterprise
Lagos Aviation and Maritime Business (LAMB) Academy, Iyana-Paja, Lagos;2012.0;Private;Innovation Enterprise
Lagos City Computer College, 7 Bashiru Oweh Street, P.M.B. 21200, Ikeja, Lagos State.;2008.0;Private;Innovation Enterprise
Laser Petroleum Geosciences Centre, Port-HarcourtP.O. Box 123, Uniport Post Office,Choba, Port-Harcourt.Km 5 East West Road, Off IMCO Petrol Station Rumuogara, Port-Harcourt, Rivers State.manpower@laser-ng.orglaser_manpower@yahoo.com;2008.0;Private;Innovation Enterprise
Laurel School of Mines Ogudu, Lagos;2019.0;Private;Innovation Enterprise
Lens School of Management and Technology, Offa, Kwara State;2013.0;Private;Innovation Enterprise
Lincoln College of Science, Management and Technology FCT, Abuja;2020.0;Private;Innovation Enterprise
Linet Paul Innovative Institute No 1Sunmail Drive Off Isaac Boro Expressway, Etegwe-Yenagoa, Bayelsa State.;2010.0;Private;Innovation Enterprise
Living Spring College of Innovation Technology, Oshogbo, Osun State;2012.0;Private;Innovation Enterprise
Lufodo Academy of Performing Arts Ikoyi22 Bourdillon Road Ikoyi-Lagoslufodoproductions@yahoo.comlufodo@yahoo.com;2010.0;Private;Innovation Enterprise
Magic Brush Film School 12,  Owu Street Behind Barnax Building, Waterlines Junction, Aba Road, Port Harcourt, Rivers State;2017.0;Private;Innovation Enterprise
Mario Institute of Hospitality Management and Entreprenuership EducationUhunowerre, Igbo – Eze South LGA Nsukka, Enugu State;2017.0;Private;Innovation Enterprise
Marvel Institute of Management & Technology, Kuchikau, Nasarawa State;2013.0;Private;Innovation Enterprise
Mastermind Catering and Culinary Institute, Plot 83, David lot / M close, off 1st Avenue, FHA, Gwarimpa, Abuja;2021.0;Private;Innovation Enterprise
Maurid Institute of Management and Technology Oron, Akwa Ibom State;2016.0;Private;Innovation Enterprise
Maurid Institute of Management and Technology Mbiaso, Akwa Ibom State;2017.0;Private;Innovation Enterprise
Mbara Ozioma College of Technology Ehime – MbanoImo State;2016.0;Private;Innovation Enterprise
Metrocity College of Technology, No 31 Dorcas Moralahun Street, Oko-Oba, Agege, Lagos;2022.0;Private;Innovation Enterprise
Merchant Seaman Academy, Ikot Adautor Essien, Udim L. G. A. Akwa Ibom State;2014.0;Private;Innovation Enterprise
Minna Institute of Technology and Innovation, Kpakungu Road, Minna, Niger State;2016.0;State Government;Innovation Enterprise
My Project Institute of Security and Strategic Studies, Zuba, Abuja, FCT;2016.0;Private;Innovation Enterprise
NAOWA Institute of Management and Technology, Asokoro, Abuja;2013.0;Federal Government;Innovation Enterprise
Nation Builders College of Technology Asaba, Delta State;2021.0;Private;Innovation Enterprise
National Centre for Women Development(NCWD), Tafawa Balewa StreetCentral Business District, Abuja;2010.0;Federal Government;Innovation Enterprise
National Film Institute, Jos, Plateau State;2011.0;Private;Innovation Enterprise
Nigeria College of Natural Science Medicine Technology, No 9, Kofo Abayomi Street, Victoria Island, Lagos State;2022.0;Private;Innovation Enterprise
Nigerian Institute of Transport Technology Basawa Road Zaria, Kaduna State;2021.0;Federal Government;Innovation Enterprise
Nigeria–Korea Friendship Institute of Vocational and Advanced Technology, Lokoja, Kogi State;2018.0;State Government;Innovation Enterprise
Nigerian Television Authority (NTA), Television College, Old Government House Close, Ray field, Jos, Plateau State.;2017.0;Federal Government;Innovation Enterprise
NIIT Education and Training Centre. Or NIIT/IDM Building, 9 Oba Akran Avenue, Ikeja Lagos. rishi.malik@idmng.com;2008.0;Private;Innovation Enterprise
NIIT Ajah Centre,Km 11, Lekki-Epe Express Way, First Gate - Ikota,(By Great Brands). ajah@niitng.com;2008.0;Private;Innovation Enterprise
NIIT Benin Centre,11, Adesuwa Grammar School Road, GRA, Benin City, Edo State. benin@niitng.com;2008.0;Private;Innovation Enterprise
NIIT Festac Centre, Lagos;2008.0;Private;Innovation Enterprise
NIIT Garki Centre,4, Dambata Close, Off Yola Street, Area 7, Garki, Abuja.;2008.0;Private;Innovation Enterprise
NIIT Gbagada Centre, 141C, Gbagada-Oshodi Express Road ( Opposite Hotel New Castel), Lagos State. festac@niitng.com;2008.0;Private;Innovation Enterprise
NIIT Ikorodu Centre, 14, Olorunojowon  Street, (Besides Zenith Bank), Lagos State. ikorodu@niitng.com;2008.0;Private;Innovation Enterprise
NIIT Offa Centre, 2nd Floor, Olatinwo House, Olofa Way, Offa, Kwara State. offa@niitng.com;2008.0;Private;Innovation Enterprise
NIIT Ota Centre,Tantolorun House, KM 1, Idi-iroko Road, Ota Round-About, Ota, Ogun State. otta@niitng.com;2008.0;Private;Innovation Enterprise
NIIT Port – Harcourt CentreNIIT Place, Kaduna Street, D-Line,Port- Harcourt, Rivers State;2008.0;Private;Innovation Enterprise
NIIT Surulere Centre, Lagos;2008.0;Private;Innovation Enterprise
NIIT Uyo Centre, 30, Udosen Uko Street, Off Oron Road, Uyo, Akwa Ibom State. uyo@niitng.com;2008.0;Private;Innovation Enterprise
NIIT Warri Centre,43, Airport Road, Effurun, Warri, Delta State.warri@niitng.com;2008.0;Private;Innovation Enterprise
Northbridge Entrepreneurial Management School, No 13, Batayya House, Zaria Road, Kano State;2022.0;Private;Innovation Enterprise
Nspire School of Management and Technology Limited, Oyo House,Central Business District, Abuja, FCT;2014.0;Private;Innovation Enterprise
OfferCentre Institute of Agriculture Olupona, Iwo, Osun State;2015.0;Private;Innovation Enterprise
Olawoyin Awosika School of Innovation Studies (OASIS), Isheri North LGA, Lagos;2013.0;Private;Innovation Enterprise
Oluaka Institute of Technology Obinze, Owerri;2019.0;Private;Innovation Enterprise
ONIT Institute of TechnologyP.O.Box 677 Abagana, Njikoka L.G.A Anambra State. onitinstitute@yahoo.com;2010.0;Private;Innovation Enterprise
Oseni Elamah ICT Institute No. 39 Polytechnic Road, Auchi.;2009.0;Private;Innovation Enterprise
Owu College of Management Technology Itele-Ota, Ogun State;2013.0;Private;Innovation Enterprise
Pan-African Institute of Paralegal Studies Gwarimpa, Abuja;2012.0;Private;Innovation Enterprise
Peace Institute of Management Technology Abak, Akwa Ibom State;2018.0;Private;Innovation Enterprise
Peugeot Automobile Nigeria (PAN) Learning Centre PAN Drive Kakuri Kaduna, Kaduna State;2021.0;Private;Innovation Enterprise
Pencil Film and Television Institute (PEFTI), 26/28 Oshodi-Apapa Expressway. Charity Bus stop. Oshodi, Lagos State.pefti2004@yahoo.com;2008.0;Private;Innovation Enterprise
Prime Innovation Institute of Technology, Ajah, Lagos;2012.0;Private;Innovation Enterprise
Raindrop College of Management and Technology, Amannachi, Ebenator,Orsu L.G.A, Imo State;2022.0;Private;Innovation Enterprise
Risk Control AcademyE 394 Ikota Shopping Complex, Lekki-Epe Expressway, Lagos. info@riskcontrolnigeria.comfajayi@riskcontrolnigeria.com;2010.0;Private;Innovation Enterprise
Rocana Institute of Technology, Enugu;2012.0;Private;Innovation Enterprise
Rolof Computer AcademyPlot 110, Apala Street, Off Okumagba Avenue,Warri, Delta State;2017.0;Private;Innovation Enterprise
Royal Arts Academy, Surulere, Lagos State;2015.0;Private;Innovation Enterprise
Sagamu Business and Arts Institute Sagamu, Ogun State;2016.0;Private;Innovation Enterprise
School of Banking Honours,74, Isheri Road (All Season Place), Beside Federal Road Safety Corp, Ojodu, P.O. Box 11314, Ikeja, Lagos. www.sbh.edu.ng;2007.0;Private;Innovation Enterprise
Sentona Institute of Management and Technology, New Nyanya, Karu L. G. A., Abuja;2014.0;Private;Innovation Enterprise
Smart Image Film and Theatre Institute, Ibadan, Oyo State;2015.0;Private;Innovation Enterprise
Softquest Incorporated College, Ogbomoso, Oyo state;2021.0;Private;Innovation Enterprise
Soteria Business SchoolBola Ige Junction, Liberty Road,Oke Ado, IbadanOyo State;2018.0;Private;Innovation Enterprise
Southern Eastern College for Computer Engineering and Information Technology, Owerri, Imo State;2011.0;Private;Innovation Enterprise
Southern Nigerian Institute of Innovation Technology, Ifewara, Ile Ife, Osun State;2012.0;Private;Innovation Enterprise
Stars Maritime Academy, Itele, Ayobo-Ota Road Lafenwa Ogun State, P.O.Box 176 ikotun Post Office, Ikotun, Lagosinfo@starsmaritime.com;2010.0;Private;Innovation Enterprise
St. Augustine Innovation Enterprise Institution, Allen Avenue, Ikeja, Lagos;2011.0;Private;Innovation Enterprise
St Rita Innovative Institute C8/C9 Niger Bridge Layout, Housing Estate Fegge, P.O. Box 2312, OnitshaRita.saint@yahoo.com;2010.0;Private;Innovation Enterprise
St. Winifred Innovative Institute, Human Resources Development Centre, Sango Dina Village off Oloni-Olunde Ayegun Road, P.O. Box 16744, Ibadan, Oyo State.st.winifred@yahoo.com;2008.0;Private;Innovation Enterprise
Tashiba  Institute of Information TechnologyGyallesu, Zaria, Kaduna State;2017.0;Private;Innovation Enterprise
The Broadcast Arts Institute, 38,Odofin Street, Igbogbo, Ikorodun Lagos State.;2022.0;Private;Innovation Enterprise
Timeon Kairos Educational and Vocational Institute, Akowanjo, Abeokuta Express Way, Agege, Lagos;2016.0;Private;Innovation Enterprise
Tower Innovative College,136, Liberty Road,Box 13039, G.P.O. Dugbe,  Ibadan. Oyo State.;2009.0;Private;Innovation Enterprise
Trizas Institute for Innovation Education13/15 Udoye Street Trans-Ekulu Enugutrizassinstitute@yahoo.com;2010.0;Private;Innovation Enterprise
UA College of Science and Technology, Isuofia Anambra State;2014.0;Private;Innovation Enterprise
Umuebe Farm College Abakaliki, Ebonyi State;2010.0;Private;Innovation Enterprise
United Cement Community Development Initiative Training Institute, Mfamosing, Cross River State;2015.0;Private;Innovation Enterprise
Unival Institute of Technology, Benin City;2015.0;Private;Innovation Enterprise
Uptonville Oil and Gas Institute, Port-Harcourt, 129/ 133 Woji Road, GRA Phase II, Port-Harcourt, Rivers State. uptonedu@yahoo.co.ukniyajayi@yahoo.com;2008.0;Private;Innovation Enterprise
Yahaya Hamza Institute of Advanced Studies, KadunaAhmadu Bello Way, Nagwamatse House, Bank of the North Building 1st Floor, Kaduna State. And 31, Independence Way By Murtala Square, P.M.B. 2011, Kaduna. sulehabib@gmail.com;2008.0;Private;Innovation Enterprise
Yefmadec Institute of Science and Technology, Mosogar, Delta State;2015.0;Private;Innovation Enterprise
Yenagoa Enterprise School, Yenagoa;2015.0;Private;Innovation Enterprise
Zibeh Institute of Technology, Jos, Plateau State;2015.0;Private;Innovation Enterprise
Al-Maárif College of Health Sciences & Technology Potiskum, Yobe State;2022.0;Private;College of Health
Aminu Dabo College of Health Sciences & TechnologyNo 9C Civic Center Road, Kano State.info@ad-cohst.edu.ng09030808334, 08121117048;2017.0;Private;College of Health
Babalola Academy College of Health Technology, Egbejila Road behind Solid Worth Hotel Asa-Dam Area Ilorin Kwara state.Tel. 07031671545email: babalolaacademy@gmail.comOr visit www.babalolacollege.edu.ng;2022.0;Private;College of Health
Bartholomew College of Health Technology ShaoMoro Local GovernmentKwara Statebartholomewschoolofhealth@gmail.com0803191550008089761497;2018.0;Private;College of Health
Centinery College of Health Technology, Emohua, Port Harcourt;2022.0;Private;College of Health
College of Health and TechnologyIle-IfeOsun State;2020.0;Private;College of Health
Dagamas College of Health Science and Technology, Sabon Gari Zaria, Kaduna State;2022.0;Private;College of Health
De-Potter College of Health Technology OruIjebu-Igbo RoadOgun State;2023.0;Private;College of Health
Emirates College of Health Science and TechnologyKano,Kano State;2017.0;Private;College of Health
Ezzangbo College of Health Technology, Ebonyi State.;2022.0;Private;College of Health
Ezeala College of Nursing Science, Umuseke Njaba LGA, Imo State;2022.0;Private;College of Health
Eucaristic Heart College of Health TechnologyOrba, NsukkaEnugu State;2022.0;Private;College of Health
Fabotas College of Health Science and Technology, Ado Ekiti, Ekiti State;2022.0;Private;College of Health
Malikiya College of Health and Social Sciences9, Gombe RoadOff Sokoto Road, Old GRABauchiBauchi State;2020.0;Private;College of Health
Millenium College of Health Technology, Akure, Ondo State.;2019.0;Private;College of Health
Nazareth Institute of Health Science & Technology, Makurdi;2021.0;Private;College of Health
New Gate College of Health Science & Technology, Minna, Niger State.;2016.0;Private;College of Health
NKST College of Health Technology, Mkar, Gboko, Benue State. collegeofhealthtechmkar@yahoo.com;1960.0;Private;College of Health
Ondo College of Health Science and Technology, Ondo, Ondo State;2022.0;Private;College of Health
Peaceland College of Health Sciences and Technology, Enugu, Enugu State;2022.0;Private;College of Health
Pogil College Of Health Technology, Opposite Mechanic Village Gate, Ijebu-Ode/Ibadan Road, Oke-Eri, via Ijebu-Ode, Ogun State.;2014.0;Private;College of Health
Abia State College of Health Technology, P.M.B. 7016, Aba;1976.0;State Government;College of Health
ABUTH School of Health Records Administration & Biostatistics, Zaria, Kaduna State.;1968.0;Federal Government;College of Health
Aliko Dangote College of Nursing Science Bauchi, Bauchi State;2013.0;State Government;College of Health
Anambra State College Of Health Technology, P.M.B. 1001, Obosi. ascohtascoht@yahoo.com ascohtascoht@gmail.com.;2001.0;State Government;College of Health
Bayelsa State College of Health Technology, Otuogidi, Bayelsa State.;2005.0;State Government;College of Health
Bill and Melinda Gates College of Health Technology, Ningi Bauchi State;1977.0;State Government;College of Health
College of Health Technology, Zawan, Plateau State;1977.0;State Government;College of Health
College of Nursing and Midwifery, Gombe, Gombe State.;2004.0;State Government;College of Health
College of Health Science and Technology, Idah, Kogi State.;1976.0;State Government;College of Health
Cross Rivers State College of Health Technology, Calabar;1977.0;State Government;College of Health
Cross River State College of Nursing & Midwifery Sciences, Itigidi;2020.0;State Government;College of Health
Delta State School of Health Technology, P.M.B. 22, Ofuoma, Ugheli;1993.0;State Government;College of Health
Ekiti State College of Health Sciences & Technology, Ijro-Ekiti;2010.0;State Government;College of Health
Federal College of Orthopaedic Technology, NOH, Igbobi, Lagos;1996.0;Federal Government;College of Health
Federal School of Dental Technology & Therapy, P.M.B. 01473 Enugu, Enugu State.;1982.0;Federal Government;College of Health
Federal School of Biomedical Engineering Technology, LUTH, Lagos;2003.0;Federal Government;College of Health
Gombe State College of Health Technology, Kaltungo, Gombe State;1977.0;State Government;College of Health
Imo State College Of Nursing & Health Sciences, P.M.B 2, Amaigbo, Nwangele LGA.;2013.0;State Government;College of Health
Institute of Health Technology, University Teaching Hospital, Benin, P.M.B. 1111, Benin City, Edo State.;2004.0;Federal Government;College of Health
Kano State College of Health Sciences and Technology, BUK Road, Kano.;1932.0;State Government;College of Health
Katsina State College of Health Sciences & Technology, Kankia;2014.0;State Government;College of Health
Kebbi State College of Nursing Sciencies, Birnin Kebbi;;State Government;College of Health
Kwara State College of Health Technology,PMB 430,Ojoku Road Offa, Kwara State;1976.0;State Government;College of Health
Lagos State College of Health Technology, Yaba;1920.0;State Government;College of Health
Lagos State College of Nursing and Midwifery, Igando.;2018.0;State Government;College of Health
Nasarawa State College of Health Science & Technology, Keffi;;State Government;College of Health
Nigerian Army College of Nursing, Myhoung Barracks, Yaba, Lagos;2018.0;Federal Government;College of Health
Nigerian Airforce College of Nursing Sciences Kaduna, Kaduna State.;;Federal Government;College of Health
Nigerian Army School of Medical Sciences, Ojo – Lagos State.;;Federal Government;College of Health
Nigerian Navy College of Health Sciences Offa.;;Federal Government;College of Health
Ogun State College of Health Technology, Ijebu, Ilese, P.M.B. 2081, Ijebu-Ode.;1976.0;State Government;College of Health
Osun State College of Health Technology, Ilesa;1977.0;State Government;College of Health
Oyo State College of Health Sciences and Technology, Eleyele, Ibadan,;1933.0;State Government;College of Health
Oyo State College of Nursing and Midwifery, Eleyele, Ibadan;1949.0;State Government;College of Health
Rivers State College of Health Technology, Port Harcourt;2001.0;State Government;College of Health
School of Biomedical Engineering Technology, ABUTH, Shika-Zaria, Kaduna State;1983.0;Federal Government;College of Health
School Of Biomedical Engineering, University of Benin Teaching Hospital, BeninP.M.B. 1111, Benin City, Edo State.;2004.0;Federal Government;College of Health
School Of Biomedical Engineering, University of Maiduguri Teaching Hospital, P.M.B. 1414, Bama Road, Maiduguri,  Borno State;1990.0;Federal Government;College of Health
School of Health Information Management, AKTH, Kano. , P.M.B. 3452, Kano, Kano State.www.akth.org enquiries@akth.org;1992.0;Federal Government;College of Health
School of Health Information Management, ATBUTH, Bauchi;2005.0;Federal Government;College of Health
School of Health Information Management, Nnamdi Azikiwe University Teaching Hospital, NAUTH, Nnewi.;1996.0;Federal Government;College of Health
School of Health Information Management, OAUTH, P.M.B. 5538, Ile-Ife;1982.0;Federal Government;College of Health
School Of Health Information Management, University of Benin Teaching Hospital, P.M.B. 1111, Benin City, Edo State.;2004.0;Federal Government;College of Health
School of Health Information Management, University of Calabar Teaching Hospital, Calabar.;1993.0;Federal Government;College of Health
School of Health Information Management, UCH, P.M.B. 5116, Ibadan.;1976.0;Federal Government;College of Health
School of Health Information Management, UDUTH, P.M.B. 2370, Sokoto.;1992.0;Federal Government;College of Health
School of Health Information Management, University of Ilorin Teaching Hospital, Ilorin, Kwara State;1996.0;Federal Government;College of Health
School of Health Information Management, UMTH, P.M.B. 1414, Bama Road, Maiduguri;1990.0;Federal Government;College of Health
School of Health Information Management, UPTH, Portharcourt, Rivers State;2014.0;Federal Government;College of Health
School of Health Information Management, LUTH, Idi Araba, Lagos;2005.0;Federal Government;College of Health
School of Health Information Management, University of Uyo, P.M.B. 1136, Uyo;2005.0;Federal Government;College of Health
School of Health Technology,P.M.B. 791, Akure, Ondo State.;1976.0;State Government;College of Health
School of Laundry and Dry Cleaning Technology, AKTH, Kano;;Federal Government;College of Health
School of Nursing, Lagos State University Teaching Hospital (LUTH);1962.0;State Government;College of Health
School of Nursing and Midwifery, Abubakar Tafawa Balewa University Teaching Hospital, Bauchi.;;Federal Government;College of Health
School of Nursing Obafemi Awolowo University Teaching Hospital Complex, Ile-Ife;;Federal Government;College of Health
School of Nursing University of Benin Teaching Hospital, Benin City;;Federal Government;College of Health
School of Nursing Wesley Guild`s Hospital OAUTH, Ilesa;;Federal Government;College of Health
School of Orthopedic Cast Technology, National Orthopedic Hospital, PMB 01294, Enugu. noheadmin@nohenig.com;1973.0;Federal Government;College of Health
School of Orthopedic Cast Technology, National Orthopedic Hospital, Dala, Kano;;Federal Government;College of Health
School of Orthopedic Cast Technology, UITH, Ilorin, Kwara State;;Federal Government;College of Health
School of Social Development, UPTH, Port-Harcourt;2018.0;Federal Government;College of Health
Shehu Idris College of Health Sciences and Technology, P.M.B. 1050 Makarfi, Kaduna State.sichstm2005@yahoo.com sichstm2005@hotmail.com;1954.0;State Government;College of Health
Shehu Sule College of Nursing & Midwifery, Damaturu, Yobe State;1993.0;State Government;College of Health
Sokoto State College of Nursing;1971.0;State Government;College of Health
Zamfara State College of Health Sciences and Technology, Tsafe;;State Government;College of Health
"Abuja School of Pension and Retirement PlanningAPS Campus, Heritage House, Sultan Abubakar Way, Zone 3P.O. Box 16558 WuseFCT Abuja, Nigeria0703 774 9805; 0903 276 926909291 2241www.aps.edu.nginfo@aps.edu.ng";2019.0;Private;Specialized Institute
Adecom College of Business Administration and Management Studies, Ibadan.;2019.0;Private;Specialized Institute
A.D Rufa’i College of Education, Legal & General Studies, Misau, Bauchi State;1998.0;State Government;Specialized Institute
All Nations Institute of Marine and Technology Oghara, Delta State;2021.0;Private;Specialized Institute
Bala Abdullahi College of Administration, Funtua, Katsina State;;State Government;Specialized Institute
Centre for Advanced Library and Information Management Enugu, Enugu State;1973.0;Federal Government;Specialized Institute
Charkin Maritime Academy, Port Harcourt, Rivers State;2021.0;Private;Specialized Institute
College of Administration and Business Studies(CABSP), P.M.B. 1001, Potiskum, Yobe State.;1956.0;State Government;Specialized Institute
College of Arabic and Islamic Legal Studies, Ilorin, Kwara State;1992.0;State Government;Specialized Institute
College of Business and Management Studies, P. M. B. 003, Konduga, Borno State.;1981.0;State Government;Specialized Institute
College of Management and Business Studies, Abeokuta, Ogun State;2021.0;Private;Specialized Institute
Commonwealth College of Technology, Gboko, Benue State;2021.0;Private;Specialized Institute
Ed-John Institute of Management and Technology Ikorodu, Lagos State;2021.0;Private;Specialized Institute
Federal Cooperative College, Abuja Road. P.M.B. 2425, Kaduna, Kaduna State;1976.0;Federal Government;Specialized Institute
Federal Cooperative College, P.M.B. 5033, Eleyele, Ibadan, Oyo State.;1943.0;Federal Government;Specialized Institute
Federal Cooperative College, Oji – River, P.M.B. 017, Enugu State.;1976.0;Federal Government;Specialized Institute
Federal School of Social Works, Emene, Enugu;1983.0;Federal Government;Specialized Institute
Federal School of Statistics, P.O. Box 20753 U.I. Post Office, Ibadan. fssibadan@gmail.com;2007.0;Federal Government;Specialized Institute
Federal School of Statistics, Manchok, P.M.B 2043, Kaduna State;2007.0;Federal Government;Specialized Institute
Federal School of Surveying, Ogbomosho Road, P.M.B. 1024, Oyo, Oyo State. fedsurvey2006@yahoo.com;1908.0;Federal Government;Specialized Institute
Federal Training Centre, 17 Marian Road, Calabar, Cross Rivers State;1982.0;Federal Government;Specialized Institute
Federal Training Centre, Emene, Industrial Layout P.M.B. 01483, Enugu, Enugu State;1977.0;Federal Government;Specialized Institute
Federal Training Centre, Ikoyi Road, Obalande, P.M.B. 12599, Marina-Lagos;1957.0;Federal Government;Specialized Institute
Federal Training Centre, Kulende Housing Estate, Ilorin, Kwara State;1976.0;Federal Government;Specialized Institute
Federal Training Centre, 70 Isa Kaita Road, P.M.B. 2070, Kaduna;1959.0;Federal Government;Specialized Institute
Federal Training Centre, Custom Area, Bama Road, P.M.B 1594, Maiduguri, Borno State;1978.0;Federal Government;Specialized Institute
Global Maritime Academy of NigeriaDelta State;2022.0;Private;Specialized Institute
Harvarde College of Management and Business Studies, Abeokuta, Ogun State;2021.0;Private;Specialized Institute
Institute of Administration, ABU. Zaria;;Federal Government;Specialized Institute
International Institute of Tourism, Yenagoa, Bayelsa State;;State Government;Specialized Institute
Jigawa State Institute of Information Technology, Kazaure.;2000.0;State Government;Specialized Institute
Joemarine Institute of Nautical Studies and Research EffurunPlot 10, 39th StreetDDPA Housing EstateUgborikokoEffurun – Delta State;2023.0;Private;Specialized Institute
Lagos State Co-operative College, Agege, Lagos State;2018.0;State Government;Specialized Institute
Lapo Institute for Microfinance and Management Studies Benin, Edo State Plot 6 S & T Road, Uselu,Benin CityEdo Statewww.lapoinstitute.orgDr Godwin Ehigiamuso (Proprietor)godwin.ehigiamusoe@lapo.nigeria.orgDr. Kenneth Okakwu (Rector)+2348032752098kenneth.okakwu@lapoinstitute.orgkennethokakwu@gmail.com;2020.0;Private;Specialized Institute
Maritime Academy of Nigeria, , P.M.B. 1089, Oron, Akwa Ibom State;1988.0;Federal Government;Specialized Institute
Metallurgical Training Institute, KM. 6/7 Onitsha-Owerri Road, P.M.B. 1555, Onitsha.;1983.0;Federal Government;Specialized Institute
Meteorological Institute of Science and Technology, Katsina, Katsina State;2020.0;State Government;Specialized Institute
Michael Imodu National Institute for Labour Studies, Ilorin, Kwara State.;1986.0;Federal Government;Specialized Institute
Muson School of Music, Marina Onikan, Lagos;2022.0;Private;Specialized Institute
National Institute for Cultural Orientation, Lagos Training School, Lagos State;1993.0;Federal Government;Specialized Institute
National Institute for Legislative and Democratic Studies, Abuja;;Federal Government;Specialized Institute
National Institute for Sports, Surulere, Lagos;1974.0;Federal Government;Specialized Institute
National Water Resources Institute, Mando Road, P.M.B. 2309, Kaduna. ed@nwri.gov.ng;1979.0;Federal Government;Specialized Institute
Nigerian Army School of Finance and Administration, Apapa, P.M.B. 1066, Lagos.;1978.0;Federal Government;Specialized Institute
Nigerian Army School of Signals, H/Q Arakan Barrack, Apapa-Lagos;1948.0;Federal Government;Specialized Institute
